model_name,zone,layer_idx,n,last_token_pct,subj_token_pct,subj_avg_pct
Qwen/Qwen2.5-3B,early,0,83,0.024096385542168676,0.927710843373494,0.927710843373494
Qwen/Qwen2.5-3B,early,2,83,0.024096385542168676,0.9759036144578314,0.9759036144578314
Qwen/Qwen2.5-3B,early,4,83,0.024096385542168676,0.9759036144578314,0.963855421686747
Qwen/Qwen2.5-3B,early,6,83,0.024096385542168676,0.9759036144578314,0.963855421686747
Qwen/Qwen2.5-3B,early,8,83,0.024096385542168676,0.963855421686747,0.963855421686747
Qwen/Qwen2.5-3B,early,10,83,0.024096385542168676,0.963855421686747,0.9518072289156626
Qwen/Qwen2.5-3B,early,12,83,0.024096385542168676,0.9759036144578314,0.963855421686747
Qwen/Qwen2.5-3B,late,24,83,0.024096385542168676,0.963855421686747,0.963855421686747
Qwen/Qwen2.5-3B,late,26,83,0.024096385542168676,0.963855421686747,0.963855421686747
Qwen/Qwen2.5-3B,late,28,83,0.1686746987951807,0.5903614457831325,0.5903614457831325
Qwen/Qwen2.5-3B,late,30,83,0.1686746987951807,0.6024096385542169,0.6024096385542169
Qwen/Qwen2.5-3B,late,32,83,0.8795180722891566,0.024096385542168676,0.024096385542168676
Qwen/Qwen2.5-3B,late,34,83,0.9518072289156626,0.024096385542168676,0.024096385542168676
Qwen/Qwen2.5-3B,mid,14,83,0.024096385542168676,0.9879518072289156,0.9759036144578314
Qwen/Qwen2.5-3B,mid,16,83,0.024096385542168676,0.9759036144578314,0.963855421686747
Qwen/Qwen2.5-3B,mid,18,83,0.024096385542168676,0.9879518072289156,0.9759036144578314
Qwen/Qwen2.5-3B,mid,20,83,0.024096385542168676,0.9879518072289156,0.9759036144578314
Qwen/Qwen2.5-3B,mid,22,83,0.024096385542168676,0.963855421686747,0.963855421686747
meta-llama/Llama-3.2-3B,early,0,83,0.024096385542168676,0.9759036144578314,0.9879518072289156
meta-llama/Llama-3.2-3B,early,2,83,0.024096385542168676,0.9879518072289156,0.9879518072289156
meta-llama/Llama-3.2-3B,early,4,83,0.024096385542168676,0.9879518072289156,0.9879518072289156
meta-llama/Llama-3.2-3B,early,6,83,0.024096385542168676,0.9879518072289156,0.9879518072289156
meta-llama/Llama-3.2-3B,early,8,83,0.024096385542168676,0.9759036144578314,0.9759036144578314
meta-llama/Llama-3.2-3B,late,18,83,0.6144578313253012,0.24096385542168675,0.24096385542168675
meta-llama/Llama-3.2-3B,late,20,83,0.891566265060241,0.03614457831325301,0.03614457831325301
meta-llama/Llama-3.2-3B,late,22,83,0.9759036144578314,0.024096385542168676,0.024096385542168676
meta-llama/Llama-3.2-3B,late,24,83,0.963855421686747,0.024096385542168676,0.024096385542168676
meta-llama/Llama-3.2-3B,late,26,83,0.9759036144578314,0.024096385542168676,0.024096385542168676
meta-llama/Llama-3.2-3B,mid,10,83,0.024096385542168676,0.9879518072289156,0.9879518072289156
meta-llama/Llama-3.2-3B,mid,12,83,0.024096385542168676,1.0,1.0
meta-llama/Llama-3.2-3B,mid,14,83,0.04819277108433735,0.963855421686747,0.963855421686747
meta-llama/Llama-3.2-3B,mid,16,83,0.3132530120481928,0.6626506024096386,0.6626506024096386
meta-llama/Meta-Llama-3-8B,early,0,83,0.024096385542168676,0.9759036144578314,0.9879518072289156
meta-llama/Meta-Llama-3-8B,early,2,83,0.024096385542168676,1.0,1.0
meta-llama/Meta-Llama-3-8B,early,4,83,0.024096385542168676,0.9879518072289156,0.9879518072289156
meta-llama/Meta-Llama-3-8B,early,6,83,0.024096385542168676,1.0,1.0
meta-llama/Meta-Llama-3-8B,early,8,83,0.024096385542168676,1.0,1.0
meta-llama/Meta-Llama-3-8B,early,10,83,0.024096385542168676,1.0,1.0
meta-llama/Meta-Llama-3-8B,late,22,83,0.9036144578313253,0.03614457831325301,0.03614457831325301
meta-llama/Meta-Llama-3-8B,late,24,83,0.963855421686747,0.024096385542168676,0.024096385542168676
meta-llama/Meta-Llama-3-8B,late,26,83,0.9759036144578314,0.024096385542168676,0.024096385542168676
meta-llama/Meta-Llama-3-8B,late,28,83,0.9759036144578314,0.024096385542168676,0.024096385542168676
meta-llama/Meta-Llama-3-8B,late,30,83,0.963855421686747,0.024096385542168676,0.024096385542168676
meta-llama/Meta-Llama-3-8B,mid,12,83,0.024096385542168676,1.0,1.0
meta-llama/Meta-Llama-3-8B,mid,14,83,0.024096385542168676,1.0,1.0
meta-llama/Meta-Llama-3-8B,mid,16,83,0.21686746987951808,0.8674698795180723,0.8674698795180723
meta-llama/Meta-Llama-3-8B,mid,18,83,0.30120481927710846,0.6265060240963856,0.6265060240963856
meta-llama/Meta-Llama-3-8B,mid,20,83,0.5421686746987951,0.37349397590361444,0.37349397590361444
microsoft/phi-2,early,0,83,0.024096385542168676,0.9879518072289156,0.9879518072289156
microsoft/phi-2,early,2,83,0.024096385542168676,0.9759036144578314,0.9759036144578314
microsoft/phi-2,early,4,83,0.024096385542168676,0.9759036144578314,0.9759036144578314
microsoft/phi-2,early,6,83,0.024096385542168676,0.9759036144578314,0.9759036144578314
microsoft/phi-2,early,8,83,0.024096385542168676,0.9759036144578314,0.9759036144578314
microsoft/phi-2,early,10,83,0.024096385542168676,0.9759036144578314,0.9759036144578314
microsoft/phi-2,late,22,83,0.26506024096385544,0.6867469879518072,0.6867469879518072
microsoft/phi-2,late,24,83,0.7349397590361446,0.1686746987951807,0.1686746987951807
microsoft/phi-2,late,26,83,0.8674698795180723,0.03614457831325301,0.03614457831325301
microsoft/phi-2,late,28,83,0.963855421686747,0.024096385542168676,0.024096385542168676
microsoft/phi-2,late,30,83,0.9759036144578314,0.024096385542168676,0.024096385542168676
microsoft/phi-2,mid,12,83,0.024096385542168676,0.9759036144578314,0.9759036144578314
microsoft/phi-2,mid,14,83,0.024096385542168676,0.963855421686747,0.963855421686747
microsoft/phi-2,mid,16,83,0.024096385542168676,0.963855421686747,0.963855421686747
microsoft/phi-2,mid,18,83,0.024096385542168676,0.963855421686747,0.963855421686747
microsoft/phi-2,mid,20,83,0.08433734939759036,0.8313253012048193,0.8313253012048193
