model_name,layer_idx,ent_low,ent_high,rel_low,rel_high
meta-llama/Llama-3.2-3B,0,0.0,0.0,0.0,0.0
meta-llama/Llama-3.2-3B,2,0.0,0.0,0.0,0.0
meta-llama/Llama-3.2-3B,4,0.0,0.0,0.0,0.3055555555555555
meta-llama/Llama-3.2-3B,6,0.0,0.0,0.14646464646464646,0.7714646464646465
meta-llama/Llama-3.2-3B,8,0.0,0.0,0.15656565656565657,0.8131313131313131
meta-llama/Llama-3.2-3B,10,0.0,0.0,0.14646464646464646,0.8083333333333331
meta-llama/Llama-3.2-3B,12,0.0,0.0,0.14646464646464646,0.8333333333333334
meta-llama/Llama-3.2-3B,14,0.0,0.125,0.5265151515151515,1.0
meta-llama/Llama-3.2-3B,16,0.04343750000000001,0.48559895833333316,0.9367424242424243,1.0
meta-llama/Llama-3.2-3B,18,0.4349459134615385,0.7552083333333333,0.9292929292929294,1.0
meta-llama/Llama-3.2-3B,20,0.812099358974359,0.9791666666666667,0.8333333333333334,1.0
meta-llama/Llama-3.2-3B,22,0.9356971153846154,1.0,0.8333333333333334,1.0
meta-llama/Llama-3.2-3B,24,0.9070512820512822,0.984375,0.8194444444444445,0.9934027777777775
meta-llama/Llama-3.2-3B,26,0.929296875,1.0,0.8042929292929292,0.986111111111111
meta-llama/Meta-Llama-3-8B,0,0.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3-8B,2,0.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3-8B,4,0.0,0.0,0.0,0.5301452020202004
meta-llama/Meta-Llama-3-8B,6,0.0,0.0,0.005050505050505051,0.6666666666666666
meta-llama/Meta-Llama-3-8B,8,0.0,0.0,0.06565656565656565,0.7184343434343434
meta-llama/Meta-Llama-3-8B,10,0.0,0.0,0.10101010101010101,0.7723484848484841
meta-llama/Meta-Llama-3-8B,12,0.0,0.0,0.1414141414141414,0.8333333333333334
meta-llama/Meta-Llama-3-8B,14,0.0,0.0,0.48593073593073594,0.98989898989899
meta-llama/Meta-Llama-3-8B,16,0.0,0.36979166666666663,0.9646464646464646,1.0
meta-llama/Meta-Llama-3-8B,18,0.0,0.47929687499999984,0.9646464646464646,1.0
meta-llama/Meta-Llama-3-8B,20,0.27781450320512824,0.7508313301282049,0.9646464646464646,1.0
meta-llama/Meta-Llama-3-8B,22,0.817109375,0.975,0.9242424242424243,1.0
meta-llama/Meta-Llama-3-8B,24,0.8958333333333334,1.0,0.9242424242424243,1.0
meta-llama/Meta-Llama-3-8B,26,0.929296875,1.0,0.8989898989898991,1.0
meta-llama/Meta-Llama-3-8B,28,0.929296875,1.0,0.8787878787878789,1.0
meta-llama/Meta-Llama-3-8B,30,0.8958333333333334,1.0,0.8585858585858587,1.0
Qwen/Qwen2.5-3B,0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-3B,2,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-3B,4,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-3B,6,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-3B,8,0.0,0.0,0.0,0.015151515151515152
Qwen/Qwen2.5-3B,10,0.0,0.0,0.0,0.4444444444444444
Qwen/Qwen2.5-3B,12,0.0,0.0,0.013888888888888888,0.5340909090909091
Qwen/Qwen2.5-3B,14,0.0,0.0,0.027777777777777776,0.6666666666666666
Qwen/Qwen2.5-3B,16,0.0,0.0,0.09722222222222222,0.7386363636363636
Qwen/Qwen2.5-3B,18,0.0,0.0,0.125,0.7664141414141414
Qwen/Qwen2.5-3B,20,0.0,0.0,0.13636363636363638,0.7916666666666666
Qwen/Qwen2.5-3B,22,0.0,0.0,0.2656746031746032,0.8792117604617604
Qwen/Qwen2.5-3B,24,0.0,0.0,0.29309163059163057,0.8709145021645022
Qwen/Qwen2.5-3B,26,0.0,0.0,0.4969516594516594,0.9026605339105339
Qwen/Qwen2.5-3B,28,0.0,0.33606770833333316,0.909992784992785,0.9717532467532467
Qwen/Qwen2.5-3B,30,0.0,0.33606770833333316,0.8547979797979798,0.9576749639249639
Qwen/Qwen2.5-3B,32,0.7661197916666667,0.9177083333333333,0.862310606060606,0.9702380952380952
Qwen/Qwen2.5-3B,34,0.8828125,1.0,0.8854662698412699,0.9781746031746031
microsoft/phi-2,0,0.0,0.0,0.0,0.0
microsoft/phi-2,2,0.0,0.0,0.0,0.0
microsoft/phi-2,4,0.0,0.0,0.0,0.0
microsoft/phi-2,6,0.0,0.0,0.0,0.41174242424242413
microsoft/phi-2,8,0.0,0.0,0.015151515151515152,0.5040719696969689
microsoft/phi-2,10,0.0,0.0,0.015151515151515152,0.5326388888888879
microsoft/phi-2,12,0.0,0.0,0.06565656565656565,0.6881313131313131
microsoft/phi-2,14,0.0,0.0,0.10101010101010101,0.7234848484848485
microsoft/phi-2,16,0.0,0.0,0.1585362554112554,0.8113320707070706
microsoft/phi-2,18,0.0,0.0,0.2982683982683983,0.8908775252525252
microsoft/phi-2,20,0.0,0.11074218749999994,0.9305781024531026,0.9920634920634921
microsoft/phi-2,22,0.09063501602564103,0.44460136217948715,0.9196248196248197,0.9920634920634921
microsoft/phi-2,24,0.5840084134615384,0.8016927083333333,0.9128156565656566,0.986111111111111
microsoft/phi-2,26,0.7734975961538462,0.9072916666666666,0.9242424242424243,1.0
microsoft/phi-2,28,0.8958333333333334,1.0,0.9242424242424243,1.0
microsoft/phi-2,30,0.929296875,1.0,0.9242424242424243,1.0
