model_name,layer_idx,unrelated_entity_wins,unrelated_relation_wins,unrelated_original_retained,unrelated_mixed_or_other,n
Qwen/Qwen2.5-3B,8,0.0,0.007575757575757576,0.803030303030303,0.1893939393939394,132
meta-llama/Llama-3.2-3B,14,0.16666666666666666,0.015151515151515152,0.045454545454545456,0.7727272727272727,132
meta-llama/Meta-Llama-3-8B,6,0.0,0.030303030303030304,0.8181818181818182,0.15151515151515152,132
microsoft/phi-2,18,0.36363636363636365,0.007575757575757576,0.03787878787878788,0.5909090909090909,132
