model_name,layer_idx,unrelated_entity_wins,unrelated_relation_wins,unrelated_original_retained,unrelated_mixed_or_other,n
Qwen/Qwen2.5-3B,0,0.0,0.0,0.9772727272727273,0.022727272727272728,132
Qwen/Qwen2.5-3B,2,0.0,0.0,0.9545454545454546,0.045454545454545456,132
Qwen/Qwen2.5-3B,4,0.0,0.0,0.9393939393939394,0.06060606060606061,132
Qwen/Qwen2.5-3B,6,0.0,0.0,0.9318181818181818,0.06818181818181818,132
Qwen/Qwen2.5-3B,8,0.0,0.007575757575757576,0.803030303030303,0.1893939393939394,132
Qwen/Qwen2.5-3B,10,0.0,0.007575757575757576,0.6590909090909091,0.3333333333333333,132
Qwen/Qwen2.5-3B,12,0.0,0.007575757575757576,0.4772727272727273,0.5151515151515151,132
Qwen/Qwen2.5-3B,14,0.0,0.007575757575757576,0.4772727272727273,0.5151515151515151,132
Qwen/Qwen2.5-3B,16,0.0,0.0,0.23484848484848486,0.7651515151515151,132
Qwen/Qwen2.5-3B,18,0.0,0.007575757575757576,0.15151515151515152,0.8409090909090909,132
Qwen/Qwen2.5-3B,20,0.0,0.007575757575757576,0.12878787878787878,0.8636363636363636,132
Qwen/Qwen2.5-3B,22,0.0,0.007575757575757576,0.12121212121212122,0.8712121212121212,132
Qwen/Qwen2.5-3B,24,0.0,0.007575757575757576,0.06060606060606061,0.9318181818181818,132
Qwen/Qwen2.5-3B,26,0.0,0.007575757575757576,0.03787878787878788,0.9545454545454546,132
Qwen/Qwen2.5-3B,28,0.36363636363636365,0.0,0.0,0.6363636363636364,132
Qwen/Qwen2.5-3B,30,0.2803030303030303,0.0,0.0,0.7196969696969697,132
Qwen/Qwen2.5-3B,32,0.8712121212121212,0.0,0.0,0.12878787878787878,132
Qwen/Qwen2.5-3B,34,0.9166666666666666,0.0,0.0,0.08333333333333333,132
meta-llama/Llama-3.2-3B,0,0.0,0.0,0.9924242424242424,0.007575757575757576,132
meta-llama/Llama-3.2-3B,2,0.0,0.0,0.8333333333333334,0.16666666666666666,132
meta-llama/Llama-3.2-3B,4,0.0,0.0,0.8863636363636364,0.11363636363636363,132
meta-llama/Llama-3.2-3B,6,0.0,0.0,0.6363636363636364,0.36363636363636365,132
meta-llama/Llama-3.2-3B,8,0.0,0.0,0.3787878787878788,0.6212121212121212,132
meta-llama/Llama-3.2-3B,10,0.0,0.0,0.3712121212121212,0.6287878787878788,132
meta-llama/Llama-3.2-3B,12,0.015151515151515152,0.0,0.15151515151515152,0.8333333333333334,132
meta-llama/Llama-3.2-3B,14,0.16666666666666666,0.015151515151515152,0.045454545454545456,0.7727272727272727,132
meta-llama/Llama-3.2-3B,16,0.44696969696969696,0.007575757575757576,0.015151515151515152,0.5303030303030303,132
meta-llama/Llama-3.2-3B,18,0.8863636363636364,0.0,0.0,0.11363636363636363,132
meta-llama/Llama-3.2-3B,20,0.9696969696969697,0.0,0.0,0.030303030303030304,132
meta-llama/Llama-3.2-3B,22,0.9545454545454546,0.0,0.0,0.045454545454545456,132
meta-llama/Llama-3.2-3B,24,0.946969696969697,0.0,0.0,0.05303030303030303,132
meta-llama/Llama-3.2-3B,26,0.9393939393939394,0.0,0.0,0.06060606060606061,132
meta-llama/Meta-Llama-3-8B,0,0.0,0.0,1.0,0.0,132
meta-llama/Meta-Llama-3-8B,2,0.0,0.0,0.9393939393939394,0.06060606060606061,132
meta-llama/Meta-Llama-3-8B,4,0.0,0.0,0.9015151515151515,0.09848484848484848,132
meta-llama/Meta-Llama-3-8B,6,0.0,0.030303030303030304,0.8181818181818182,0.15151515151515152,132
meta-llama/Meta-Llama-3-8B,8,0.007575757575757576,0.0,0.49242424242424243,0.5,132
meta-llama/Meta-Llama-3-8B,10,0.007575757575757576,0.0,0.5151515151515151,0.4772727272727273,132
meta-llama/Meta-Llama-3-8B,12,0.007575757575757576,0.0,0.2803030303030303,0.7121212121212122,132
meta-llama/Meta-Llama-3-8B,14,0.1590909090909091,0.0,0.18181818181818182,0.6590909090909091,132
