model_name,steer_type,zone,source_family,layer_idx,alpha,target_hit_pct,random_target_hit_pct,original_pct,random_original_pct,mixed_pct,random_mixed_pct,n
Qwen/Qwen2.5-3B,entity_late,late,comparative,34,1.0,0.5833333333333334,0.0,0.0,0.25,0.4166666666666667,0.75,12
Qwen/Qwen2.5-3B,entity_late,late,comparative,34,1.5,0.4166666666666667,0.0,0.0,0.16666666666666666,0.5833333333333334,0.8333333333333334,12
Qwen/Qwen2.5-3B,entity_late,late,comparative,34,2.0,0.4166666666666667,0.0,0.0,0.0,0.5833333333333334,1.0,12
Qwen/Qwen2.5-3B,entity_late,late,comparative,34,3.0,0.5,0.0,0.0,0.0,0.5,1.0,12
Qwen/Qwen2.5-3B,entity_late,late,language,28,0.5,0.9090909090909091,0.0,0.06060606060606061,0.9696969696969697,0.030303030303030304,0.030303030303030304,33
Qwen/Qwen2.5-3B,entity_late,late,language,28,1.0,0.36363636363636365,0.0,0.0,0.3333333333333333,0.6363636363636364,0.6666666666666666,33
Qwen/Qwen2.5-3B,entity_late,late,language,28,1.5,0.06060606060606061,0.0,0.0,0.030303030303030304,0.9393939393939394,0.9696969696969697,33
Qwen/Qwen2.5-3B,entity_late,late,language,28,2.0,0.09090909090909091,0.0,0.0,0.030303030303030304,0.9090909090909091,0.9696969696969697,33
Qwen/Qwen2.5-3B,entity_late,late,language,28,3.0,0.12121212121212122,0.0,0.0,0.030303030303030304,0.8787878787878788,0.9696969696969697,33
Qwen/Qwen2.5-3B,entity_late,late,language,30,0.5,0.8787878787878788,0.0,0.0,0.9090909090909091,0.12121212121212122,0.09090909090909091,33
Qwen/Qwen2.5-3B,entity_late,late,language,30,1.0,0.45454545454545453,0.0,0.0,0.30303030303030304,0.5454545454545454,0.696969696969697,33
Qwen/Qwen2.5-3B,entity_late,late,language,30,1.5,0.12121212121212122,0.030303030303030304,0.0,0.09090909090909091,0.8787878787878788,0.8787878787878788,33
Qwen/Qwen2.5-3B,entity_late,late,language,30,2.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.9393939393939394,0.9696969696969697,33
Qwen/Qwen2.5-3B,entity_late,late,language,30,3.0,0.15151515151515152,0.0,0.0,0.030303030303030304,0.8484848484848485,0.9696969696969697,33
Qwen/Qwen2.5-3B,entity_late,late,language,32,0.5,1.0,0.0,0.0,1.0,0.0,0.0,33
Qwen/Qwen2.5-3B,entity_late,late,language,32,1.0,0.8181818181818182,0.0,0.0,0.48484848484848486,0.18181818181818182,0.5151515151515151,33
Qwen/Qwen2.5-3B,entity_late,late,language,32,1.5,0.8484848484848485,0.0,0.0,0.30303030303030304,0.15151515151515152,0.696969696969697,33
Qwen/Qwen2.5-3B,entity_late,late,language,32,2.0,0.7878787878787878,0.0,0.0,0.30303030303030304,0.21212121212121213,0.696969696969697,33
Qwen/Qwen2.5-3B,entity_late,late,language,32,3.0,0.7272727272727273,0.0,0.0,0.12121212121212122,0.2727272727272727,0.8787878787878788,33
Qwen/Qwen2.5-3B,entity_late,late,language,34,0.5,1.0,0.0,0.0,0.9393939393939394,0.0,0.06060606060606061,33
Qwen/Qwen2.5-3B,entity_late,late,language,34,1.0,0.5757575757575758,0.0,0.0,0.45454545454545453,0.42424242424242425,0.5454545454545454,33
Qwen/Qwen2.5-3B,entity_late,late,language,34,1.5,0.42424242424242425,0.0,0.030303030303030304,0.09090909090909091,0.5454545454545454,0.9090909090909091,33
Qwen/Qwen2.5-3B,entity_late,late,language,34,2.0,0.45454545454545453,0.0,0.0,0.06060606060606061,0.5454545454545454,0.9393939393939394,33
Qwen/Qwen2.5-3B,entity_late,late,language,34,3.0,0.48484848484848486,0.0,0.0,0.0,0.5151515151515151,1.0,33
Qwen/Qwen2.5-3B,entity_late,late,opposite,28,0.5,0.6666666666666666,0.0,0.0,0.9166666666666666,0.3333333333333333,0.08333333333333333,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,28,1.0,0.5,0.0,0.0,0.4166666666666667,0.5,0.5833333333333334,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,28,1.5,0.25,0.0,0.0,0.0,0.75,1.0,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,28,2.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,1.0,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,28,3.0,0.25,0.0,0.0,0.0,0.75,1.0,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,30,0.5,0.8333333333333334,0.0,0.0,0.9166666666666666,0.16666666666666666,0.08333333333333333,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,30,1.0,0.5833333333333334,0.0,0.0,0.4166666666666667,0.4166666666666667,0.5833333333333334,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,30,1.5,0.5,0.0,0.0,0.0,0.5,1.0,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,30,2.0,0.5,0.0,0.0,0.0,0.5,1.0,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,30,3.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,32,0.5,0.8333333333333334,0.0,0.0,0.75,0.16666666666666666,0.25,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,32,1.0,0.6666666666666666,0.0,0.0,0.5,0.3333333333333333,0.5,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,32,1.5,0.8333333333333334,0.0,0.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,32,2.0,0.5833333333333334,0.0,0.0,0.0,0.4166666666666667,1.0,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,32,3.0,0.5833333333333334,0.0,0.0,0.0,0.4166666666666667,1.0,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,34,0.5,0.75,0.0,0.0,0.5833333333333334,0.25,0.4166666666666667,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,34,1.0,0.4166666666666667,0.0,0.0,0.5,0.5833333333333334,0.5,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,34,1.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.6666666666666666,0.8333333333333334,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,34,2.0,0.5,0.0,0.0,0.08333333333333333,0.5,0.9166666666666666,12
Qwen/Qwen2.5-3B,entity_late,late,opposite,34,3.0,0.5,0.0,0.0,0.0,0.5,1.0,12
Qwen/Qwen2.5-3B,entity_late,late,past_tense,28,0.5,0.14285714285714285,0.0,0.09523809523809523,0.5238095238095238,0.7619047619047619,0.47619047619047616,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,28,1.0,0.09523809523809523,0.0,0.0,0.14285714285714285,0.9047619047619048,0.8571428571428571,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,28,1.5,0.09523809523809523,0.0,0.0,0.0,0.9047619047619048,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,28,2.0,0.047619047619047616,0.0,0.0,0.0,0.9523809523809523,1.0,21
